"thread_titles","thread_links","poster_ids","time","posts","category"
"Do I Have Photosensitive Epilepsy?","https://www.medhelp.org/posts/Epilepsy/Do-I-Have-Photosensitive-Epilepsy/show/1485010","CassandraNelson","2011-07-12T21:33:34-04:00","Hi there. I have photosensitive epilepsy and I have the same problems. If I'm in too much artificial lighting for too long I have an aura and have to sit or lie down. I then have my seizure. I've had this disorder since I was 14. Through research I found out it usually occurs more in children between the ages of 9-17. I'm not too sure on the adult onset. I'd recommend seeing a neurologist, but also tell them about your dissociation and depersonalization too. For me, my seizures are mainly sudden jerking motions on my right side that include small finger twitches, leg kicking as if they were reflexes, arm and head jerking. My skin gets red and sore and it feels as if it was on fire. Hope this information helps. :)","answer"
"Do I Have Photosensitive Epilepsy?","https://www.medhelp.org/posts/Epilepsy/Do-I-Have-Photosensitive-Epilepsy/show/1485010","Narble","2011-03-20T20:09:26-04:00","Your descriptions resemble a seizure, but you'll need to have a neurological workup to find out if you have epilepsy and whether or not you are photosensitive. The neurologist will have to take into account the depersonalization/dissociation, as well as consider alternative explanations.","answer"
"Extremely Scared","https://www.medhelp.org/posts/Epilepsy/Extremely-Scared/show/1524757","teddybears4ever2","2011-05-22T03:37:33-04:00","My brother-in-law is a huge idiot.  He has been having seizures since he was about 19.  He really stupid and sits around and get drunk and high all day long.  Most of the time his seizures take place at night, thank god I have never witnessed one.About 6 months ago he had one at work, and not long after that he had one while he was driving.  His friend saved his life, if his friend hadn't been there...I can't even think about it, it makes me too sad.Well in MN you have to be seizure free for 6 moths to be able to drive.  He willingly went to the DMV and surrendered his driver's license.  He didn't drive for awhile, or work.  It was weird, and I actually liked it that way.Well my husband (his brother) has informed me that he is going to be able to drive again and go to work again.  I am scared to death, that something is going to happen to him.  I know he still drinks and I know he still smokes weed. There is no way that I am going to tell him how I feel, because well I am just ""sissy.""  He doesn't listen to anyone, or anything.  I am trying very hard not to show how scared I am of all of this.  Am I scared for nothing?","question"
"Extremely Scared","https://www.medhelp.org/posts/Epilepsy/Extremely-Scared/show/1524757","teddybears4ever2","2011-07-10T21:31:05-04:00","Well my brother-in-law is back at work.  So far so good, but I can't help but still freak out.  The fact that his seizures have changed from nocturnal ones to ones during the day, have got me worried.","answer"
"Extremely Scared","https://www.medhelp.org/posts/Epilepsy/Extremely-Scared/show/1524757","teddybears4ever2","2011-06-06T22:47:23-04:00","He has to be out for 2 more weeks.","answer"
"Extremely Scared","https://www.medhelp.org/posts/Epilepsy/Extremely-Scared/show/1524757","teddybears4ever2","2011-06-02T09:03:17-04:00","Just like that my fear has become true. He was back to work for one day. He has already had a seizure. He was going to lie to his boss about some crap, about forgetting his medication. Dear Lord I'm going to have a heartattack on his behalf. I care a lot about what happens to him, I mean we do say we are brother and sister.","answer"
"Extremely Scared","https://www.medhelp.org/posts/Epilepsy/Extremely-Scared/show/1524757","teddybears4ever2","2011-05-28T02:50:23-04:00","I don't think my husband can say anything to him, because he won't listen to him.  He won't listen to his mom or dad.  I also need to say this, not only does he sit around all day and smoke weed and get drunk, but he does it while he drives.  OMG I can't stand this at all.  I will never be in a car while he is driving, as I don't need a record, or worse.  We all smoke weed.  I have been smoking weed off and on since high school and my husband and my sister also smoke weed with me. I don't understand how my brother-in-law does it, but he is very smooth talking and somehow he always winds up driving in the end.  He used to trick me into doing all his laundry, again how he did it I will never know.  I've been with my husband for over 6 years and 8 months.  Out of that time, I think my brother-in-law has legally been able to work and drive for about 4 of those years.  The worst part about this is, that his parents sometimes let him drive with a suspended license, when it gets suspended.  Are they insane?  What worries me the most about this is that I seem to be the ONLY one who is concerned.  No one else seems to have an issue with this, and I don't understand it.  I agree with you about family.","answer"
"Extremely Scared","https://www.medhelp.org/posts/Epilepsy/Extremely-Scared/show/1524757","mindy1977","2011-05-24T06:38:14-04:00","No, you're not scared for nothing.  Unfortunately, what he does to his own body is really his business, but if he gets behind the wheel of a car, you have every right to be concerned.  I'm not sure what to tell you as how to handle it.  They say you have to be seizure free for six months before you can drive and then they just give you your license back.  That's how it is here too and it's never made much sense to me.  I have seizures and narcolepsy.  I haven't had a seizure or fallen asleep during the day since at least January, but I have no intention (I turned in my own license too) of going back for my license.  It must be frustrating to be in your position.  You DON'T need to get drunk and smoke week when you have a seizure disorder.  I do have the occasional drink, but I couldn't tell you the last time I got drunk and as far as weed goes, I haven't smoked weed since I was like 17 so it's been like half a life-time ago (lol).  Is there anyway your husband would talk to him?  You didn't mention if your husband was for or against the drinking and smoking.  Since they are brothers maybe he would listen.  Or have you looked into a medically revoked license?  You could always call the police and say you're concerned and have him pulled over every time he drives (that sounds more evil than it was meant to).  I wish there was something more I could say.  All I can really do is say that if you need someone to vent to, I'll listen.  Family...  Ah, the joys...  lol","answer"
"I think I had my first seizure","https://www.medhelp.org/posts/Epilepsy/I-think-I-had-my-first-seizure/show/1550811","mike899","2011-07-05T09:23:36-04:00","Let me start off by telling a little about my self and the preivous 2 days.I am a 31 year old male that has no prior medical issues really at all, I have never been to the hospital except for minor stiches one time. Saturday night I pulled what you might want to say an ""all nighter"". I did not drink overly heavily but with driving and going out i didn't go to sleep till sunday at 9am. I didn't sleep all that well and woke up at 3pm, later Sunday i fell asleep at 8pm and woke up today at 7am. So i missed a lot of sleep and then slept a lot.My alarm for work went off today at 6:00am, i snoozed till 630am and jumped out of bed after a long sleep. I got in the shower, while in the shower i started to feel nauseous as if i was going to puke. I got out of the shower, dried off, put on some lotion; basic post shower routine. I went to the kitchen still feeling nauseous to get some water, then decided to hover over the toilet incase i puked. I never was able to puke so i went back to the kitchen for more water.After that it gets a lil fuzzy, I remember thinking to myself I am on the floor shaking this is not normal and got up.. Still completely out of it I made it all but 2 steps into the living room carpet and again I remember thinking to myself you are on the floor shaking what is wrong with you and got up. After getting up the second time, I was still groggy but i felt 10x better, the feeling of dizziness and wanting to puke was gone.. I could see in the kitchen that the table was moved about 3 feet against the wall, I am guessing i passed out on it? I have no idea.All i can think is that I had a seizure? I feel 100% and am at work after a long weekend. No one was home to witness anything so I all i have is my own memory of the event","question"
"I think I had my first seizure","https://www.medhelp.org/posts/Epilepsy/I-think-I-had-my-first-seizure/show/1550811","Dr    Santos","2011-07-09T04:44:24-04:00","Hi,How are you? I agree with Kristel that the best thing to do at this point is to see your doctor or neurologist and have proper evaluation. A complete neurological examination and diagnostic tests such as EEG may help rule this out. Seizure disorders may have many possible causes/ triggers and  occurs when there is a disturbance to the normal pattern of neuron activity in the brain. This includes brain tumors, alcoholism, heart attack, and other conditions that deprive the brain of oxygen and even from stress,anxiety, hormones, lack of sleep, alcohol,smoking and caffeine. Take care and do keep us posted.","answer"
"I think I had my first seizure","https://www.medhelp.org/posts/Epilepsy/I-think-I-had-my-first-seizure/show/1550811","mike899","2011-07-06T08:12:23-04:00","As for bruises, yes, I have a few them in weird places.. So I took a hard fall of some sort. Before I fell, I felt a strong urge to throw up then the last thing i remember is a strong rush of heat going through my body. Then I woke up on the floor feeling like i was shaking, not a cold shake, like a jerking shaking. But i was thinking today it could of just been my body hitting the floor that woke me up. Then I again got up and about 10 seconds later i woke up on the floor again with the same feeling that i was shaking. The whole thing could of last more than 30 seconds between both falls. After the second fall I felt 100% better, similar to how when you have to throw up and finally finishing throwing up.. you feel relieved. That was how i felt. I got ready for work and went on with my day normally. .The rest of the day I was a little tired but nothing out of the ordinary after sleeping all that time after a long night.","answer"
"I think I had my first seizure","https://www.medhelp.org/posts/Epilepsy/I-think-I-had-my-first-seizure/show/1550811","kricklekrin","2011-07-05T17:15:58-04:00","That last paragraph...  I hope your ""NOT"" having them :)  -  OOPS!","answer"
"I think I had my first seizure","https://www.medhelp.org/posts/Epilepsy/I-think-I-had-my-first-seizure/show/1550811","kricklekrin","2011-07-05T17:13:13-04:00","Hi Mike,If this could have been a seizure it is recommended that you see a doctor.  Now, did you get up with any bumps, bruises or bitten tongue?  Sleep deprivation can provoke seizures.  Feeling like you were going to ""puke"" is a little concerning.  Could you have eaten bad food and had a bad reaction?  If you don't think so, taking the time to get checked by your doctor wouldn't be a bad idea.  You want to make sure your heart is OK :)  If you remember the shaking - this is a little confusing, because typically you won't remember shaking or jerking with a seizure if you lose consiousness.  When you say shaking, what do you mean?  Shaking like cold without chills, or nervous shake? I have partial sensory seizures and I do shake after them, but I don't lose consiousness.  Did you have any other symptoms before?  Tingling, numbness, taste or smell, ringing or humming, pain, vision issues, vertigo, etc....  What did you feel like the rest of the day?  I hope your feeling better.  I'm sure this scared you and I know when I had my first seizure I was scared out of my mind.  Came out of the blue at 39 years old.  I hope your now having them.  I would definately get a check up if you have not had one recently and discuss this with your doctor.  Take care,  Kristel","answer"
"ARE BLACKOUTS TREATED FOR EPILEPSY","https://www.medhelp.org/posts/Epilepsy/ARE-BLACKOUTS-TREATED-FOR-EPILEPSY/show/1539667","TANU14999","2011-06-16T02:21:32-04:00","My son had blackout on 15th sept 2010 at 7.30 am while getting ready for school.His ECG was normal,EEG slightly abnormal and MRI normal when tested on the same day.The doctor prescribed tablets for epilepsy.He had no other symptoms.We did not start him on tabs.Now after nine months again on 8th june 2011 at the same time in the morning he blacked out while getting ready on the carpet.Both the events were the same and at the same time,no other symptoms except for a headache, which went after he had a cup of milk and biscuits.This time again his EEG showed the same mild abnormality.Doctor prescribed tabs for 3yrs.We still don't feel it is Epilepsy and have not started the medications.He is 11yrs old, will be 12 in sept. His height is 4' and wt.31 kgs.Please suggest what to do?Thank u.","question"
"ARE BLACKOUTS TREATED FOR EPILEPSY","https://www.medhelp.org/posts/Epilepsy/ARE-BLACKOUTS-TREATED-FOR-EPILEPSY/show/1539667","Dr    Santos","2011-07-09T04:30:26-04:00","Hi,How is your son? One type of seizure disorder, absence seizures, are characterized by a brief impairment of consciousness that lasts for a few seconds.This is more common in children than in adults and often with an abrupt onset and prompt recovery. If the EEG results were both abnormal, it is best that he take the medication as prescribed. Absence seizures usually can be controlled with anti-seizure medications. It is best that you discuss this with his doctor  to ease any doubts. Children with a history of absence seizure must be supervised carefully especially in activities such as swimming or bathing because of the danger of drowning. Take care and do keep us posted.","answer"
"ARE BLACKOUTS TREATED FOR EPILEPSY","https://www.medhelp.org/posts/Epilepsy/ARE-BLACKOUTS-TREATED-FOR-EPILEPSY/show/1539667","FurballsMom","2011-06-16T06:42:02-04:00","I'm no expert or anything, but I've heard of people who already have epilepsy becoming prone to seizures from food allergies.  Definitely follow the more expert advice, but it won't hurt to check for food allergies.  A lot of people are allergic to wheat or gluten and a lot of people are allergic to milk.  If it's not a ""true"" allergy, it can still be food sensitivities.  Google information for food sensitivities and for food elimination/food challenge diets.Actually, this makes sense to me because people with migraines have many of the same symptoms as people with epilepsy, minus the outward seizures.  And, food sensitivities do definitely trigger migraines in people.","answer"
"Dizzy spell","https://www.medhelp.org/posts/Epilepsy/Dizzy-spell/show/1533919","Teri61","2011-06-06T11:20:08-04:00","While sleeping I was awakened by a major dizzy spell. When i sat up the room began spinning so bad i had to lay down at which time I started feeling sick on my stomach.  All of a sudden my heart was beating so fast and I began breathing so fast I could not stop.  This lasted about 6 hrs.The only medication that I take is Lamictal due to having one seizure approximately  6 years ago.Any clues","question"
"Dizzy spell","https://www.medhelp.org/posts/Epilepsy/Dizzy-spell/show/1533919","Dr    Santos","2011-07-09T03:14:33-04:00","Hi,How are you? Are there other symptoms present? Dizzy spells may be caused by insufficient oxygen in the brain which may be attributed to a variety of issues. This includes ear infections, vertigo, error of refraction, orthostatic hypotension, hypoglycemia, and underlying conditions like anemia. If it recurs, it is best that you have this checked by your doctor for proper evaluation. Direct clinical examination and diagnostic tests may be done to help with the diagnosis. Take care and do keep us posted.","answer"
"Dizzy spell","https://www.medhelp.org/posts/Epilepsy/Dizzy-spell/show/1533919","teddybears4ever2","2011-06-09T16:08:32-04:00","I don't know what to tell you.  I guess it could be a form of an aura.  If you are truly concerned maybe you should contact your doctor.","answer"
"Post brain surgery medication","https://www.medhelp.org/posts/Epilepsy/Post-brain-surgery-medication/show/1536926","mammie29","2011-06-11T09:07:26-04:00","My five year old grandson had his first seizure on 3/21 and surgery to remove a benign left frontal astrocytoma on 5/11. Before the surgery he started on Keppra to control the seizures which did not work. Then Trileptal was added but still did not work so Depakote added finally mostly kept the seizures to a few minor ones a day. After the totally successful surgery to remove the tumor he was kept on the Depakote as a precaution for an undetermined length of time. It is now 6/ 11 and my grandson is doing fine except that his behavior is altered and it seems to have begun only recently(a couple of weeks). He is off the wall at times and as his day-time caregiver I am concerned as well as are his parents. I believe it to be the Depakote's side affects and wonder if another antiseizure med should be tried. He will begin Kindergarten in the Fall and I would hate to see him start school with behavior problems.He is taking 250 mg. times six a day which his neurologist says is a low dose. Can it be the Depakote or do you think the behavior is the result of the surgery?","question"
"Post brain surgery medication","https://www.medhelp.org/posts/Epilepsy/Post-brain-surgery-medication/show/1536926","mammie29","2011-06-25T11:22:17-04:00","Thank you for your opinion and time...it is appreciated.","answer"
"Post brain surgery medication","https://www.medhelp.org/posts/Epilepsy/Post-brain-surgery-medication/show/1536926","Dr  Prasad, MBBS","2011-06-18T07:47:38-04:00","Hi, thanks for query. Things seem to be going fine. He needs to be evaluated neurologically for this. It is better that pediatrician and neurologist examines him properly. The drugs are must for at least 6 months and the dose again is not very high.Wishing him good health.","answer"
"MY DAUGHTER AGE TEN! ","https://www.medhelp.org/posts/Epilepsy/MY-DAUGHTER-AGE-TEN/show/562415","tisatenn2005","2008-07-05T08:47:11-04:00","PLEASE ANWSER! IM SCARED DNT KNW WHATS GOING ON! Hello, My daughter age ten had what is beleived to be a seizure on thursday. No doctors were open i spoke to on call am making an appt for her come mon. But heres the ?. She had been playing her nintendo ds for an hour or so then watched some tv for 15-45 minutes. She then went up stairs and talked and joked with her grandfather. He had jammed his finger and it was bleeding. SHE HAS NO PROBLEMS WITH BLOOD! She was sitting. She stood, and flopped back in the chair, and shook for 10 or so seconds. No history of seizures. Felt tired afterward and did remember what happened. Felt fine later that night. Claims had a headache and tummyache right before the incident. PLease tell me did she have a seizure?","question"
"MY DAUGHTER AGE TEN! ","https://www.medhelp.org/posts/Epilepsy/MY-DAUGHTER-AGE-TEN/show/562415","mummydia","2011-06-11T11:48:43-04:00","well parents ...i read your concerns and the doctors response.I just want to say medicine has be awesome God has given man great ablity to discover complexities.....but , he is the great physician and I am Happy to say that my son has been healed from his seizures .Trust in God ,the blood of jesus has already set us free from sickness .just receive it.God bless you both","answer"
"MY DAUGHTER AGE TEN! ","https://www.medhelp.org/posts/Epilepsy/MY-DAUGHTER-AGE-TEN/show/562415","Maureen71","2008-07-18T18:06:15-04:00","Hi:My son was 8 years old when he had his first ""witnessed"" seizure. His right arm and leg shook for a few seconds and the saliva came out of his mouth as he tried to talk to us. Right afterwards, he was very tired but felt fine. There is absolutely no epilepsy nor history of seizures in my or my husband's family. Though, I am by no menas a doctor, I can say that it does sound like a seizure. But before a doctor will diagnose epilepsy, she will have had to have another seizure. (I pray that she doesn't and that this will go away! Statistics says that about 65% of people will have one seizure during their lifetime by the majority of those will never have another). If it is epilepsy, then rest assured that your baby will be ok. The meds, once the correct dosage is determined, are not so horrible in most cases and keep in mind that thankfully this is not a life-threatening condition that in most cases can be controlled by meds. My son is now almost 11 and I am happy to say that after hit and miss with the first med, he is now on Carbatrol and tnak God has been siezure free almost one year now.Also, many kids do ""outgrow"" epilepsy. That is my and my family's daily prayers.Please feel free to email and other questions. And do let me know how your princess is doing.Good luck!","answer"
"MY DAUGHTER AGE TEN! ","https://www.medhelp.org/posts/Epilepsy/MY-DAUGHTER-AGE-TEN/show/562415","Dr    Santos","2008-07-07T21:35:11-04:00","How are you? How is your daughter? Is there a family history of seizure? Was there a previous trauma with the head? Differentiating a seizure from other conditions such as syncope/faint can be difficult. The most dramatic symptom is generalized convulsions. The child may undergo rhythmic jerking and muscle spasms, sometimes with difficulty breathing and rolling eyes. The child is often sleepy and confused after the seizure and does not remember the seizure afterward. Partial seizures usually affect only one group of muscles, which spasm and move convulsively. Children with this type of seizure may also behave strangely during the episode and may or may not remember the seizure itself after it ends.Have your daughter evaluated at the pediatrician's office. A wide variety of tests can be performed on a child who is thought to have seizures. This testing depends on the child's age and suspected type of seizures. It is recommended that  an electroencephalogram (EEG) and  brain imaging with CT scan or MRI scan in the work-up of those  presenting with a first apparently unprovoked seizure. This link may be helpful: http://www.emedicinehealth.com/seizures_in_children/article_em.htm#Seizures%20in%20Children%20OverviewTake care and keep us posted.","answer"
"MY DAUGHTER AGE TEN! ","https://www.medhelp.org/posts/Epilepsy/MY-DAUGHTER-AGE-TEN/show/562415","jojoc37","2008-07-07T18:48:11-04:00","Im no expert but would think this was a simple faint, she may of stood up too quickly, let us know what the doc says, jo","answer"
"Newly diagnosed with epilepsy! I have a few questions please","https://www.medhelp.org/posts/Epilepsy/Newly-diagnosed-with-epilepsy-I-have-a-few-questions-please/show/1528350","AdriP0380","2011-05-27T21:21:44-04:00","Hi all!!!My first time on here...I hope I find some answers. I'm sorry, this is going to be quite long...i'm really worried and I be it that it's my first time, I just wanted to give a little background! I apologize in advance if it's too longA little over 2 weeks ago I had a seizure @ home @ night. It was my first time... lucky my boyfriend was home and handled it actually pretty well. I saw an epilepsy specialist a few days later and he gave me an ambulatory EEG to wear for the night. Nothing out of the ordinary happened over night and I returned it the following day. I really was convinced this was a one time thing and everything would be fine.On Monday I went back for my results and I was told my EEG is abnormal and he diagnosed me with epilepsy. He has not prescribed me any medication, and i do not drive (well, I have a license but I don't have a car). I am do back in 8 weeks. He told me to take 250mg of magnesium a day and get a MRI. He also said we'll discus maybe medication then, but I've read the horrible side affects, and I'm already depressed and anxious, and I really don't want to take them if it's unnecessary. I've read a lot about the disease itself, but I wanted to just hear from others that also have epilepsy or are familiar with it and can share any advise with me.Even though the nero I saw is borderline genius he didn't answer a lot of the question I had. From reading on line it sounds to me like I had either tonic seizures or atonic seizure.(can you have both?) Basically, I got up from the chair and felt extremely dizzy to the point where my vision started being unfocused and I had to hold on the the table not to fall. I remember holding a something in both my hands. The next thing I know I'm on the chair, shaking and not being able to say anything or focus my vision on anything. I was so lucky my boyfriend was home and right next to me. He said I dropped whatever I was holding in my hands first and fell on the chair (bc the chair was right behind me), my head went to the right side almost instantly and my head and neck were jerking ""left and right back and forth"" (as per his description). My eyes were rolling in the back of my head. I don't quite remember it that way, but I was hearing him say my name and ask what's the matter, what's the matter? He said it lasted about 10-20 seconds. He snapped his fingers (i don't know if that's what made me come out of it or the seizure itself just ended, and I also don't remember him snapping his fingers, but he said I came back), but I was confused, and all I could say was ""what"" over and over again. He took me to the couch and I layed down, I kept touching my teeth, and like biting my lips, and I was very tiered. He said I was disoriented for about 10-15 minutes later. After that I felt perfectly fine, except very scared and anxious. Since then, we watched a movie and just got blueray, and there were lots of lights going on in the movie (I am # 4 was the movie) and that bothered my eyes so much I had to cover them! I get dizzy often when I get up, but I sit back down right away and it goes away. Sometimes I get blurry vision (like right now actually) but it also goes away. I need to add a few things about me (i'm sorry i'm rambling, i just want to get it all out there). I'm 31. I'm under tremendousness amount of stress and have been since last October. I've lost 40+ lbs since then (i am now about 137 lbs) bc of all the stress that's going on. I also have another neurological disorder, Pseudotumor cerebri, but have been off medication for about 2 yrs bc I'm feeling much better. I've had neumourus MRI's in the past and CTs bc of the PTC, last one in 10/09, and they all have been normal. My nero said this next MRI will probably come out abnormal bc of the new on set seizure. I went to a different neurologist then the one I see for PTC. Should I go back to him?For the ones who are ""experienced"" (for lack of better words) with this...any advise please...as into do u know when a seizure comes on? is there anything to prevented it? do you know what triggered your first seizure? certain things that trigger it for you? should I follow a certain diet? do i really need medication? I smoke and I socially drink (really socially, lately not even once a month). I also smoke pot now and then, but I was told that may help it. I sometimes take Xanax to help me sleep, but @ no other time during the day. The seizure happened about a week before my period. I am on no other medication.Thanking in advance for your answers and help! Again, I am sorry it's so long....","question"
"Newly diagnosed with epilepsy! I have a few questions please","https://www.medhelp.org/posts/Epilepsy/Newly-diagnosed-with-epilepsy-I-have-a-few-questions-please/show/1528350","caregiver222","2011-05-28T11:41:46-04:00","For some people the so-called ketogenic diet is helpful. This is a high-fat low-carbohydrate prorgram. Others have special sensitivity to flickering lights, especially red lights. and wearing polarized dark glasses helps.Two episodes do not confirm a diagnosis of epilepsy. There may have been some factor in your life that altered the threshold of sensitivity. Certain drugs are prime suspects. There is no evidence that smoking organic pot ""helps"". Street pot is often contaminated with toxins that could cause a seizure. You have to end all use of alcohol.","answer"
"Newly diagnosed with epilepsy! I have a few questions please","https://www.medhelp.org/posts/Epilepsy/Newly-diagnosed-with-epilepsy-I-have-a-few-questions-please/show/1528350","teddybears4ever2","2011-05-28T02:35:16-04:00","I can give you a little advice, because I have a brother-in-law that has it, as well as a cousin.  I can tell you that smoking, drinking, and smoking weed are not a very good idea.  My brother-in-law does all 3 of them, and winds up paying for it.  If you are feeling weird one thing that comes to mind is you may have what is called an aura.  Auras are not something to be scared of they just are part of having epilepsy.  No one is going to fault you for being forgetful, because well that is part of epilepsy.  I wish I could help you more, but I think I have reached the max of what I know.  Good luck!","answer"
"Newly diagnosed with epilepsy! I have a few questions please","https://www.medhelp.org/posts/Epilepsy/Newly-diagnosed-with-epilepsy-I-have-a-few-questions-please/show/1528350","AdriP0380","2011-05-27T23:13:32-04:00","I'd like to add that lately I've been sort of forgetful, mixing certain things up here and there, like i'd like to say  phone, but I say remote! Not daily or anything like that, but it's happened a few times. Reading back my post I realized how many mistakes I've made, but I can't edit it. Stuff like that happens sort of often. I work in a medical office and when I have, I guess I can say an ""off"" day, I noticed I make mistakes with # and letter while I type alot. Anyway, I thought I should add that! Thanks again","answer"
"sleep and epilepsy","https://www.medhelp.org/posts/Epilepsy/sleep-and-epilepsy/show/1522536","LYD7278","2011-05-18T07:53:36-04:00","hi my two year old son has just been diagnosed with petti mal seizures he gets very upset when he has a fit all he does is freeze stare into space then he comes to next week he is due to have a mri scan is it possible for this scan mot to show up anything and does anyone no if these fits can happen during there sleep as my son often wakes up for no reason but does twitch and jerk alot in his sleep","question"
"sleep and epilepsy","https://www.medhelp.org/posts/Epilepsy/sleep-and-epilepsy/show/1522536","buster2000","2011-05-20T08:14:15-04:00","Hello im not sure about the type your son has. My husband has just been told that he has epilepsy as he had two seizures different times but both while sleeping it is common to have them any time of the day scary but our neurologist was explaning that there is different parts of the brain it happens to so depending on the type your son has it might not happen to him and some time when your younger you can grow out of it as some medication will help make it go as well but this is only some people hope it helps and good luck just make sure they get on top of the medication xo","answer"
"sleep and epilepsy","https://www.medhelp.org/posts/Epilepsy/sleep-and-epilepsy/show/1522536","bigsissie","2011-05-18T12:09:29-04:00","I am not sure about the mri but my husband also has seizures and I know he has them in his sleep. He sometimes has them bad enough to shake the bed and wake me up. He does not even realize they are happening but when he wakes up the next morning he is sore and cranky. I hope you and he both get the help you need. Good luck and God bless.Sissie","answer"
"Is this normal for epilepsy","https://www.medhelp.org/posts/Epilepsy/Is-this-normal-for-epilepsy/show/1520901","beadsunnergirl","2011-05-15T14:07:47-04:00","I had a baby 8 months ago and about 10 minutes after having the baby I started shaking on the right side of my body. I felt like I coundnt breath. It ended up that I stopped breathing and ended up in ICU. They tought I had a brain anuerysm so I was sent to UCLA for a femoral artery angiogram. While on the table they injected dyeinto the left side of my brain and I immediatly had a seizure. Only the right side was affected. Thedoctor told me I had a seizure disorder on the left side of my brain that causes the right side to shake. Since January I have had some sort of episode at least every week and a half. I notice that I will feel tingling in my lower legs and/or arms. Lately (the last 2 mon.) I have noticed that my right eye will start to twitch and sag before an episode. Over the last few months I have noticed that my episodes have changed to. Instead of a constnt shaking on the right side it is some shaking and a tensing of the muscles on the right side only. I usualy have a headache on the left side of my head before and after. I have also started to notice that lately before an episode it is like my brain is grinding to a hault. I get ""stuck."" For example I was cooking and I got stuck with a can in my hand. The muscles were so tensed I couldnt let go and my husband had o pry the can out of my hand. I had never experienced anything like this until I had my baby. My nuerologist thinks it is epilepsy. The other strange thing is these episodes of muscle contraction and seizing can last for over 30 minutes. I am awke during it, but I cant talk or express myself. I am usually stuck where ever it happens. I also have a hard time talking for about 10 to 15 minutes afterward. It is like my brain has to reboot. Does this sound like epilepsy???? Any advice?","question"
"Is this normal for epilepsy","https://www.medhelp.org/posts/Epilepsy/Is-this-normal-for-epilepsy/show/1520901","lexirose84","2011-05-17T13:30:47-04:00","have them check for vitamin deficiancys.","answer"
"Is this normal for epilepsy","https://www.medhelp.org/posts/Epilepsy/Is-this-normal-for-epilepsy/show/1520901","teddybears4ever2","2011-05-17T00:48:57-04:00","It does sound like you have it.  As far as I know everyone has a time that they can't remember. Also you are awake,but unable to express yourself If you are worried you should probably get an EEG (if you have not gotten one).","answer"
"seizures?","https://www.medhelp.org/posts/Epilepsy/seizures/show/1482571","helpmeplease000001","2011-03-16T01:44:42-04:00","What is the cause?I never experienced it nor am I battling it. In the last year, I have witnessed a few. My younger brother age 14 and I watched a movie one night. Typical drama mystery type. Nothing flashy. At some point, he and I talked during the movie. Then, I felt my bed shake, loud banging, and weird noises. I turn around wondering what the hell is going on? He is shaking, looking like he is stretching, and convulsing. I sort of grab him, call his name, and he doesn't respond. Completely inconscious. At this point I freak out. We call 911. He is moving. Our mom around. Too strong and. She cannot hold him. I do and I leave him on the floor. He is spitting or drooling. I am upset typing this. I thought he was dead. Fortunately, he made it. Paramedics were helpful and quick. He bit his tongue and had a horrible head ache. The hospital did a EEG nd cat scan. We await a neurologist. Guys this was a nightmare. He says he has had a head ache on the left side when he woke up today. This has happened more then once. Tests showed nothing. We assumed the first time was a false alarm. This I saw and it was horrible. Guys, what causes this? Stress? He smokes weed. A this a trigger? Help? I hear 5min can be life threatening.","question"
"seizures?","https://www.medhelp.org/posts/Epilepsy/seizures/show/1482571","spitfire2","2011-05-13T18:31:47-04:00","I kept saying your ""son""--sorry!  Meant ""younger brother.""  Brain freeze moments!","answer"
